Theta1,Theta2,Theta3
90.02787,84.5664,89.43259
90.7345,84.21129,89.85337
91.37919,83.860146,90.27819
91.96152,83.512405,90.7166
92.47555,83.164665,91.17539
93.00566,82.816925,91.5532
93.53578,82.469185,92.02379
94.04275,82.12144,92.617615
94.50826,81.773705,93.21146
94.9728,81.38415,93.77103
95.43659,81.00265,94.2547
96.837036,80.643425,94.73837
98.36719,80.30593,95.181244
99.21775,79.970505,95.57157
100.04136,79.6589,95.9619
100.813065,79.36161,96.35553
101.630165,79.08257,96.87157
102.22677,78.83134,97.51178
102.81812,78.58369,98.1803
103.3758,78.33698,98.88891
103.937614,78.09372,99.46792
104.558205,77.87661,100.03995
105.17881,77.683075,100.61197
105.72149,77.49589,101.167694
106.617,77.290596,101.639496
107.65519,77.07895,101.96343
108.67305,76.8673,102.24373
109.67112,76.66497,102.523895
110.71595,76.468956,102.80405
111.748665,76.282875,103.081055
112.554634,76.09679,103.358574
113.2752,75.90183,103.63881
114.62118,75.70463,103.87924
115.77909,75.53268,104.03294
116.97813,75.35938,104.14115
118.10934,75.1861,104.16317
119.27057,75.01281,104.24086
120.21447,74.82203,104.32588
121.179924,74.62886,104.469795
122.07402,74.436935,104.64978
122.962074,74.25494,104.88565
123.84794,74.08007,105.16127
124.7712,73.876274,105.29456
125.8822,73.662186,105.38719
126.974434,73.45371,105.46219
128.10864,73.25587,105.38407
129.0714,73.057396,105.250275
130.00645,72.86327,105.176414
130.9048,72.66915,105.13826
131.78001,72.477135,105.11734
132.73436,72.315674,105.121796
134.00354,72.16349,105.14992
134.99321,72.031075,105.21257
136.16106,71.97308,105.294556
137.5164,71.91918,105.33421
138.55928,71.86529,105.288795
139.55208,71.81139,105.24374
140.49635,71.76198,105.22334
141.21138,71.71922,105.20128
142.05745,71.67677,105.19644
143.18388,71.63459,105.19511
144.30751,71.603905,105.14894
145.03737,71.58218,105.114426
145.89525,71.56338,105.10292
146.8054,71.55375,105.12713
147.63295,71.555595,105.182495
148.48576,71.58073,105.232056
149.3971,71.62838,105.30324
150.65569,71.67623,105.40004
151.50938,71.72736,105.51289
152.50414,71.778496,105.62573
153.50832,71.83002,105.70366
154.22992,71.8893,105.769066
155.14943,71.94913,105.84068
156.00432,72.01796,105.59328
156.7116,72.1014,105.055466
157.46437,72.19807,104.44139
158.31514,72.294426,103.910164
159.15617,72.41953,103.38068
159.77606,72.55234,102.75041
160.45354,72.68515,102.154015
161.13101,72.82673,101.52605
161.90996,72.98579,100.88927
162.77284,73.17075,100.28155
163.52284,73.36437,99.691696
164.2759,73.56977,99.136826
165.09505,73.78571,98.58745
165.64836,74.00165,98.03802
166.20168,74.2176,97.488075
166.755,74.44587,96.944046
167.45,74.67952,96.40036
168.18971,74.91497,95.85721
168.92943,75.163506,95.31439
169.66916,75.42803,94.77191
170.60846,75.677864,94.2311
171.73454,75.91815,93.70117
172.83183,76.163635,93.21445
173.91653,75.15647,92.85324
172.48439,50.37904,92.554214
-2.3607962,19.016512,92.287476
